user_id,product_id,rating
47,265,4.0
79,142,1.0
51,59,3.0
57,116,3.0
4,811,3.0
66,881,2.0
70,22,3.0
58,700,1.0
35,149,3.0
96,437,2.0
60,365,1.0
36,649,1.0
97,519,2.0
76,702,3.0
85,765,1.0
13,860,4.0
75,141,3.0
89,406,1.0
33,925,2.0
96,752,2.0
56,497,3.0
51,340,1.0
62,745,2.0
43,706,4.0
59,542,1.0
78,806,2.0
94,813,2.0
11,237,2.0
19,535,3.0
31,654,1.0
75,143,1.0
66,402,1.0
51,847,3.0
37,213,2.0
53,534,3.0
94,560,2.0
30,398,1.0
63,960,1.0
50,494,1.0
81,134,3.0
14,375,4.0
56,574,5.0
79,441,3.0
77,298,1.0
26,550,3.0
99,824,1.0
50,207,1.0
38,740,3.0
67,531,3.0
55,681,1.0
73,580,2.0
38,542,1.0
91,62,3.0
72,4,1.0
42,419,1.0
13,62,1.0
83,415,4.0
85,102,1.0
61,145,1.0
89,40,3.0
32,571,2.0
8,530,1.0
42,33,3.0
15,94,2.0
75,174,3.0
3,263,2.0
5,121,2.0
50,419,1.0
98,226,5.0
91,765,1.0
13,994,1.0
88,181,3.0
72,967,3.0
58,237,3.0
9,631,2.0
98,125,3.0
11,546,2.0
38,53,2.0
77,225,1.0
18,586,4.0
56,407,3.0
36,452,2.0
61,492,3.0
44,198,2.0
85,114,1.0
99,318,3.0
61,685,2.0
80,412,3.0
50,933,2.0
96,780,2.0
22,675,2.0
29,875,2.0
86,437,2.0
85,264,5.0
39,356,3.0
44,163,1.0
2,84,2.0
69,302,5.0
24,147,5.0
42,189,3.0
62,569,3.0
13,303,5.0
82,611,3.0
39,382,2.0
37,870,1.0
4,626,2.0
100,410,3.0
83,545,3.0
94,348,3.0
9,146,4.0
22,413,2.0
87,91,1.0
7,558,1.0
26,581,1.0
49,96,2.0
100,433,2.0
35,45,1.0
67,553,2.0
54,125,3.0
25,18,3.0
77,27,3.0
12,612,1.0
14,207,3.0
15,519,3.0
34,348,2.0
82,683,1.0
36,724,3.0
55,772,3.0
36,519,3.0
74,656,3.0
65,273,3.0
34,144,3.0
88,925,1.0
4,705,2.0
77,795,2.0
70,391,3.0
90,676,1.0
88,124,2.0
10,406,2.0
58,882,3.0
69,446,3.0
32,851,3.0
8,18,3.0
65,519,1.0
89,354,2.0
88,158,3.0
100,490,3.0
75,217,4.0
7,373,3.0
85,250,3.0
87,609,2.0
14,711,2.0
50,564,1.0
11,758,3.0
75,150,3.0
94,496,4.0
69,282,2.0
68,444,2.0
29,187,3.0
95,138,2.0
23,87,3.0
58,233,2.0
4,939,2.0
46,472,2.0
82,833,1.0
88,344,1.0
90,973,3.0
55,939,3.0
34,361,4.0
22,578,2.0
85,19,4.0
28,776,3.0
54,576,3.0
34,138,5.0
69,31,2.0
36,562,3.0
75,870,4.0
86,594,4.0
92,82,4.0
68,963,2.0
94,318,2.0
61,141,2.0
71,830,3.0
81,23,5.0
18,846,1.0
60,612,1.0
93,795,3.0
30,871,3.0
88,362,3.0
85,414,2.0
62,264,3.0
77,285,4.0
34,917,2.0
81,595,3.0
8,901,5.0
80,977,2.0
88,501,2.0
9,253,3.0
93,262,2.0
17,210,2.0
79,624,2.0
55,907,3.0
45,534,3.0
74,946,3.0
88,505,1.0
80,563,1.0
5,765,5.0
18,68,3.0
14,379,1.0
37,188,3.0
83,352,1.0
51,303,3.0
37,410,2.0
95,559,5.0
15,963,2.0
58,257,2.0
60,55,3.0
17,94,5.0
9,981,1.0
99,898,2.0
60,179,1.0
66,55,2.0
50,365,3.0
25,573,2.0
66,583,2.0
79,21,3.0
100,414,2.0
89,140,3.0
31,93,1.0
12,997,2.0
32,860,3.0
20,900,3.0
